question,answer,explanation
Hello,Halo,Digunakan saat menyapa seseorang secara umum. Artinya: 'Halo.'
Hi,Hai,Digunakan dalam situasi santai dengan teman atau kenalan. Artinya: 'Hai.'
Good morning,Selamat pagi,Digunakan saat menyapa di pagi hari hingga pukul 12 siang. Artinya: 'Selamat pagi.'
Good afternoon,Selamat siang,Digunakan setelah pukul 12 siang hingga menjelang sore. Artinya: 'Selamat siang.'
Good evening,Selamat malam,Digunakan saat menyapa di sore hingga malam hari. Artinya: 'Selamat malam.'
Goodbye,Selamat tinggal,Digunakan saat berpisah dengan seseorang. Artinya: 'Selamat tinggal.'
See you later,Sampai jumpa lagi,Digunakan saat akan berpisah dan berharap bertemu lagi. Artinya: 'Sampai jumpa lagi.'
My name is...,Nama aku...,Digunakan untuk memperkenalkan diri. Artinya: 'Nama aku...'
I live in...,Aku tinggal di...,Digunakan untuk menyatakan tempat tinggal. Artinya: 'Aku tinggal di...'
It is nice to meet you,Senang bertemu dengan kamu,Digunakan saat pertama kali bertemu seseorang. Artinya: 'Senang bertemu dengan kamu.'
I am a student,Aku seorang pelajar,Digunakan untuk menyatakan bahwa kamu seorang pelajar. Artinya: 'Aku seorang pelajar.'
How are you?,Apa kabar?,Digunakan untuk menanyakan kabar seseorang. Artinya: 'Apa kabar?'
What is your name?,Siapa nama kamu?,Digunakan untuk menanyakan nama seseorang. Artinya: 'Siapa nama kamu?'
Where are you from?,Dari mana asal kamu?,Digunakan untuk menanyakan asal seseorang. Artinya: 'Dari mana asal kamu?'
How old are you?,Berapa umur kamu?,Digunakan untuk menanyakan usia seseorang. Artinya: 'Berapa umur kamu?'
What do you do?,Apa pekerjaan kamu?,Digunakan untuk menanyakan pekerjaan atau aktivitas seseorang. Artinya: 'Apa pekerjaan kamu?'
I’m fine, thank you.,Aku baik, terima kasih,Digunakan untuk menjawab pertanyaan kabar dengan positif. Artinya: 'Aku baik, terima kasih.'
I’m doing great!,Aku sangat baik!,Digunakan untuk menyatakan kondisi sangat baik. Artinya: 'Aku sangat baik!'
I’m not feeling well.,Aku lagi nggak enak badan,Digunakan saat merasa kurang sehat. Artinya: 'Aku lagi nggak enak badan.'
I’m from ...,Aku dari ...,Digunakan untuk menyatakan asal. Artinya: 'Aku dari ...'
I am ... years old.,Saya berumur ... tahun,Digunakan untuk menyatakan usia Anda. Artinya: 'Saya berumur ... tahun.'
Please.,Tolong,Digunakan saat meminta sesuatu dengan sopan. Artinya: 'Tolong.'
Thank you.,Terima kasih,Digunakan untuk mengucapkan terima kasih. Artinya: 'Terima kasih.'
You're welcome.,Sama-sama,Digunakan sebagai respon setelah seseorang mengucapkan terima kasih. Artinya: 'Sama-sama.'
Excuse me.,Permisi,Digunakan untuk menarik perhatian atau meminta maaf sebelum mengganggu. Artinya: 'Permisi.'
I’m sorry.,Maaf,Digunakan untuk meminta maaf atas kesalahan. Artinya: 'Maaf.'
